Date,Temp,Day
1/5/2015,5.037,5
1/5/2015,7.882,5
1/5/2015,6.166,5
1/5/2015,5.347,5
1/5/2015,7.079,5
1/5/2015,7.079,5
1/5/2015,6.37,5
1/5/2015,4.727,5
1/5/2015,0.343,5
1/5/2015,-1.228,5
1/5/2015,-2.261,5
1/5/2015,-2.61,5
1/5/2015,-3.553,5
1/5/2015,-4.272,5
1/5/2015,-5.249,5
1/5/2015,-6.12,5
1/6/2015,-6.882,6
1/6/2015,-7.397,6
1/6/2015,-7.527,6
1/6/2015,-7.918,6
1/6/2015,-7.657,6
1/6/2015,-7.787,6
1/6/2015,-7.657,6
1/6/2015,-7.657,6
1/6/2015,-7.138,6
1/6/2015,-6.12,6
1/6/2015,-5.496,6
1/6/2015,-4.758,6
1/6/2015,-5.125,6
1/6/2015,-4.514,6
1/6/2015,-2.03,6
1/6/2015,-4.88,6
1/6/2015,-6.373,6
1/6/2015,-7.267,6
1/6/2015,-7.138,6
1/6/2015,-7.527,6
1/6/2015,-7.787,6
1/6/2015,-8.447,6
1/6/2015,-6.12,6
1/6/2015,-5.62,6
1/7/2015,-5.62,7
1/7/2015,-6.373,7
1/7/2015,-7.01,7
1/7/2015,-7.397,7
1/7/2015,-6.882,7
1/7/2015,-6.626,7
1/7/2015,-5.62,7
1/7/2015,-5.372,7
1/7/2015,-4.758,7
1/7/2015,-4.393,7
1/7/2015,-3.792,7
1/7/2015,-2.494,7
1/7/2015,0.01,7
1/7/2015,-1.57,7
1/7/2015,0.674,7
1/7/2015,-2.61,7
1/7/2015,-4.272,7
1/7/2015,-4.514,7
1/7/2015,-5.62,7
1/7/2015,-6.246,7
1/7/2015,-7.527,7
1/7/2015,-9.252,7
1/7/2015,-10.916,7
1/7/2015,-12.068,7
1/8/2015,-12.361,8
1/8/2015,-12.807,8
1/8/2015,-13.107,8
1/8/2015,-13.715,8
1/8/2015,-14.178,8
1/8/2015,-14.648,8
1/8/2015,-14.648,8
1/8/2015,-14.806,8
1/8/2015,-14.023,8
1/8/2015,-11.487,8
1/8/2015,-9.252,8
1/8/2015,-7.787,8
1/8/2015,-5.62,8
1/8/2015,-4.514,8
1/8/2015,-2.962,8
1/8/2015,-1.799,8
1/8/2015,-7.267,8
1/8/2015,-8.182,8
1/8/2015,-7.657,8
1/8/2015,-5.125,8
1/8/2015,-3.792,8
1/8/2015,-2.61,8
1/8/2015,-1.914,8
1/8/2015,-0.887,8
1/9/2015,0.121,9
1/9/2015,0.674,9
1/9/2015,1.112,9
1/9/2015,1.872,9
1/9/2015,2.837,9
1/9/2015,4.415,9
1/9/2015,5.45,9
1/9/2015,4.311,9
1/9/2015,6.573,9
1/9/2015,6.978,9
1/9/2015,7.582,9
1/9/2015,3.261,9
1/9/2015,1.439,9
1/9/2015,0.453,9
1/9/2015,-0.549,9
1/9/2015,0.01,9
1/9/2015,-0.213,9
1/9/2015,-1.456,9
1/9/2015,-2.494,9
1/9/2015,-2.844,9
1/9/2015,-3.079,9
1/9/2015,-3.197,9
1/9/2015,-3.079,9
1/9/2015,-2.145,9
1/10/2015,-1.684,10
1/10/2015,-1.914,10
1/10/2015,-1.914,10
1/10/2015,-2.844,10
1/10/2015,-3.792,10
1/10/2015,-3.553,10
1/10/2015,-3.792,10
1/10/2015,-5.372,10
1/10/2015,-5.249,10
1/10/2015,-1.57,10
1/10/2015,-0.102,10
1/10/2015,0.453,10
1/10/2015,0.784,10
1/10/2015,1.112,10
1/10/2015,1.548,10
1/10/2015,1.98,10
1/10/2015,-2.962,10
1/10/2015,-6.626,10
1/10/2015,-6.626,10
1/10/2015,-6.246,10
1/10/2015,-6.12,10
1/10/2015,-6.626,10
1/10/2015,-7.918,10
1/10/2015,-5.62,10
1/11/2015,-4.152,11
1/11/2015,-6.12,11
1/11/2015,-5.496,11
1/11/2015,-5.995,11
1/11/2015,-5.372,11
1/11/2015,-6.246,11
1/11/2015,-6.246,11
1/11/2015,-6.626,11
1/11/2015,-5.62,11
1/11/2015,-1.001,11
1/11/2015,0.343,11
1/11/2015,1.764,11
1/11/2015,2.624,11
1/11/2015,4.934,11
1/11/2015,4.311,11
1/11/2015,4.727,11
1/11/2015,1.221,11
1/11/2015,0.563,11
1/11/2015,1.872,11
1/11/2015,2.088,11
1/11/2015,3.472,11
1/11/2015,3.998,11
1/11/2015,4.623,11
1/11/2015,4.311,11
1/12/2015,4.207,12
1/12/2015,3.998,12
1/12/2015,3.472,12
1/12/2015,0.674,12
1/12/2015,0.343,12
1/12/2015,1.112,12
1/12/2015,1.439,12
1/12/2015,1.872,12
1/12/2015,3.683,12
1/12/2015,6.573,12
1/12/2015,7.381,12
1/12/2015,7.682,12
1/12/2015,8.978,12
1/12/2015,7.079,12
1/12/2015,6.166,12
1/12/2015,6.268,12
1/12/2015,5.962,12
1/12/2015,6.775,12
1/12/2015,6.573,12
1/12/2015,4.207,12
1/12/2015,3.155,12
1/12/2015,2.943,12
1/12/2015,2.73,12
1/12/2015,2.517,12
1/13/2015,2.195,13
1/13/2015,1.98,13
1/13/2015,1.112,13
1/13/2015,1.33,13
1/13/2015,1.112,13
1/13/2015,0.893,13
1/13/2015,0.893,13
1/13/2015,0.893,13
1/13/2015,-0.102,13
1/13/2015,0.232,13
1/13/2015,0.893,13
1/13/2015,0.453,13
1/13/2015,0.121,13
1/13/2015,1.003,13
1/13/2015,0.674,13
1/13/2015,0.343,13
1/13/2015,-3.434,13
1/13/2015,-3.672,13
1/13/2015,-3.553,13
1/13/2015,-3.434,13
1/13/2015,-3.434,13
1/13/2015,-2.844,13
1/13/2015,-2.727,13
1/13/2015,-2.61,13
1/14/2015,-2.377,14
1/14/2015,-2.377,14
1/14/2015,-1.799,14
1/14/2015,-1.799,14
1/14/2015,-1.456,14
1/14/2015,-1.341,14
1/14/2015,-0.887,14
1/14/2015,-0.437,14
